bgrid,bgrname,bgrseverity,bgrassignedto,bgrreportedby,bgrreportedon,bgrstatus,bgrenvironment,bgrdesc
bgrid4506,Incorrect hardware handling,low,Caleb2,Caleb43,9/8/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4507,Unpropagated updates,high,Caleb1,Caleb46,3/6/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4508,Incompatible systems,high,Caleb1,Caleb27,9/8/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4509,Division by zero.,low,Caleb37,Caleb2,10/8/2015,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4510,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb2,10/8/2015,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4511,Division by zero.,medium,Caleb1,Caleb21,6/4/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4512,Arithmetic overflow,high,Caleb10,Caleb34,12/7/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4513,Arithmetic overflow,high,Caleb30,Caleb2,4/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4514,infinite recursionIncorrect protocol implementation,low,Caleb1,Caleb15,10/8/2015,fixed,Dev,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4515,Unpropagated updates,medium,Caleb1,Caleb1,6/4/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4516,infinite recursionIncorrect protocol implementation,high,Caleb2,Caleb42,3/6/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4517,Division by zero.,low,Caleb2,Caleb50,3/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4518,infinite recursionIncorrect protocol implementation,high,Caleb1,Caleb46,9/8/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4519,Incorrect hardware handling,medium,Caleb2,Caleb1,1/6/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4520,Infinite loops ,high,Caleb1,Caleb19,5/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4521,Division by zero.,medium,Caleb10,Caleb13,11/7/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4522,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb1,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4523,Incompatible systems,high,Caleb1,Caleb2,11/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4524,Arithmetic overflow,low,Caleb10,Caleb2,1/6/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4525,Incompatible systems,high,Caleb32,Caleb2,3/6/2016,not started,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4526,Arithmetic overflow,high,Caleb2,Caleb2,4/5/2016,in progress,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4527,Incorrect hardware handling,low,Caleb3,Caleb1,10/8/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4528,Division by zero.,high,Caleb2,Caleb2,1/6/2016,fixed,UTE,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4529,Infinite loops ,medium,Caleb1,Caleb1,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4530,Incorrect hardware handling,low,Caleb1,Caleb1,6/4/2016,in progress,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4531,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb2,1/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4532,infinite recursionIncorrect protocol implementation,low,Caleb1,Caleb2,9/8/2015,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4533,infinite recursionIncorrect protocol implementation,high,Caleb20,Caleb2,2/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4534,Arithmetic overflow,high,Caleb1,Caleb2,10/8/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4535,Incompatible systems,medium,Caleb2,Caleb48,6/4/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4536,Differences between documentation and product,medium,Caleb1,Caleb2,6/4/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4537,Division by zero.,medium,Caleb48,Caleb1,5/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4538,Incorrect assumptions of a particular platform,medium,Caleb2,Caleb2,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4539,Infinite loops ,low,Caleb47,Caleb24,10/8/2015,fixed,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4540,Infinite loops ,medium,Caleb45,Caleb1,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4541,Arithmetic overflow,medium,Caleb29,Caleb2,5/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4542,Unpropagated updates,high,Caleb2,Caleb18,9/8/2015,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4543,infinite recursionIncorrect protocol implementation,low,Caleb1,Caleb2,3/6/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4544,Infinite loops ,low,Caleb1,Caleb48,12/7/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4545,Incorrect hardware handling,high,Caleb1,Caleb2,3/6/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4546,Incorrect hardware handling,high,Caleb26,Caleb1,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4547,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb2,12/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4548,Incorrect hardware handling,low,Caleb45,Caleb1,4/5/2016,in progress,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4549,Incompatible systems,medium,Caleb1,Caleb2,9/8/2015,not started,Test,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4550,Arithmetic overflow,low,Caleb2,Caleb26,3/6/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4551,infinite recursionIncorrect protocol implementation,high,Caleb2,Caleb1,2/5/2016,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4552,Division by zero.,low,Caleb1,Caleb23,4/5/2016,not started,Sbx,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4553,Incorrect assumptions of a particular platform,medium,Caleb2,Caleb1,11/7/2015,fixed,Test,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4554,Incorrect hardware handling,medium,Caleb2,Caleb1,3/6/2016,fixed,Act,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4555,Differences between documentation and product,high,Caleb16,Caleb2,1/6/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4556,Incompatible systems,medium,Caleb15,Caleb1,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4557,Arithmetic overflow,low,Caleb2,Caleb2,3/6/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4558,Unpropagated updates,high,Caleb2,Caleb30,4/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4559,Differences between documentation and product,low,Caleb42,Caleb2,11/7/2015,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4560,Differences between documentation and product,low,Caleb48,Caleb2,2/5/2016,in progress,Sbx,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4561,Arithmetic overflow,medium,Caleb2,Caleb2,11/7/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4562,Differences between documentation and product,high,Caleb1,Caleb2,11/7/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4563,infinite recursionIncorrect protocol implementation,high,Caleb1,Caleb19,10/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4564,infinite recursionIncorrect protocol implementation,medium,Caleb42,Caleb2,12/7/2015,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4565,Unpropagated updates,medium,Caleb37,Caleb2,2/5/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4566,Incompatible systems,low,Caleb43,Caleb32,10/8/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4567,Unpropagated updates,medium,Caleb2,Caleb2,2/5/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4568,Incompatible systems,low,Caleb18,Caleb4,3/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4569,Incorrect assumptions of a particular platform,high,Caleb21,Caleb44,3/6/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4570,Incorrect assumptions of a particular platform,low,Caleb41,Caleb11,11/7/2015,not started,UTE,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4571,Division by zero.,medium,Caleb2,Caleb2,4/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4572,Arithmetic overflow,medium,Caleb17,Caleb29,9/8/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4573,Incorrect hardware handling,medium,Caleb2,Caleb1,12/7/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4574,Unpropagated updates,low,Caleb5,Caleb3,11/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4575,Unpropagated updates,high,Caleb1,Caleb22,6/4/2016,in progress,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4576,Differences between documentation and product,medium,Caleb2,Caleb2,11/7/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4577,Division by zero.,high,Caleb1,Caleb28,11/7/2015,fixed,Dev,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4578,Infinite loops ,low,Caleb1,Caleb1,6/4/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4579,Incorrect hardware handling,high,Caleb2,Caleb2,11/7/2015,in progress,Dev,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4580,Unpropagated updates,high,Caleb2,Caleb23,6/4/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4581,infinite recursionIncorrect protocol implementation,high,Caleb2,Caleb50,10/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4582,Arithmetic overflow,low,Caleb1,Caleb21,6/4/2016,in progress,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4583,Arithmetic overflow,high,Caleb35,Caleb1,6/4/2016,fixed,Sbx,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4584,Differences between documentation and product,high,Caleb8,Caleb2,2/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4585,Infinite loops ,low,Caleb2,Caleb2,11/7/2015,fixed,Sbx,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4586,Incorrect assumptions of a particular platform,low,Caleb2,Caleb23,2/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4587,Infinite loops ,low,Caleb35,Caleb1,4/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4588,Differences between documentation and product,high,Caleb1,Caleb2,4/5/2016,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4589,Incompatible systems,medium,Caleb6,Caleb1,4/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4590,Arithmetic overflow,medium,Caleb1,Caleb1,4/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4591,Arithmetic overflow,medium,Caleb42,Caleb2,10/8/2015,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4592,Incompatible systems,high,Caleb2,Caleb25,12/7/2015,in progress,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4593,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb2,2/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4594,Division by zero.,medium,Caleb43,Caleb24,4/5/2016,fixed,Act,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4595,Unpropagated updates,low,Caleb6,Caleb28,6/4/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4596,Division by zero.,medium,Caleb1,Caleb2,1/6/2016,not started,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4597,Differences between documentation and product,low,Caleb1,Caleb2,1/6/2016,not started,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4598,Incompatible systems,medium,Caleb2,Caleb1,1/6/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4599,Infinite loops ,low,Caleb1,Caleb1,6/4/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4600,Incorrect hardware handling,medium,Caleb29,Caleb1,11/7/2015,fixed,Act,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4601,Incorrect hardware handling,high,Caleb1,Caleb35,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4602,Incorrect hardware handling,low,Caleb23,Caleb41,5/5/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4603,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb2,10/8/2015,in progress,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4604,infinite recursionIncorrect protocol implementation,high,Caleb1,Caleb1,12/7/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4605,Unpropagated updates,medium,Caleb2,Caleb1,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4606,Infinite loops ,high,Caleb2,Caleb1,5/5/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4607,Incompatible systems,medium,Caleb11,Caleb7,6/4/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4608,Incompatible systems,low,Caleb43,Caleb1,6/4/2016,in progress,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4609,Incorrect assumptions of a particular platform,low,Caleb2,Caleb1,11/7/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4610,Infinite loops ,high,Caleb2,Caleb1,5/5/2016,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4611,Incorrect hardware handling,medium,Caleb2,Caleb10,12/7/2015,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4612,Arithmetic overflow,high,Caleb21,Caleb39,2/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4613,Arithmetic overflow,low,Caleb1,Caleb1,9/8/2015,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4614,Unpropagated updates,high,Caleb2,Caleb1,2/5/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4615,Infinite loops ,medium,Caleb40,Caleb42,10/8/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4616,Infinite loops ,medium,Caleb1,Caleb2,10/8/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4617,Incompatible systems,low,Caleb1,Caleb2,1/6/2016,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4618,infinite recursionIncorrect protocol implementation,low,Caleb1,Caleb2,6/4/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4619,infinite recursionIncorrect protocol implementation,low,Caleb13,Caleb1,10/8/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4620,Differences between documentation and product,low,Caleb1,Caleb2,5/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4621,Division by zero.,high,Caleb1,Caleb2,11/7/2015,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4622,Division by zero.,high,Caleb24,Caleb1,5/5/2016,fixed,Sbx,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4623,Incompatible systems,medium,Caleb36,Caleb30,11/7/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4624,Incorrect hardware handling,low,Caleb2,Caleb1,1/6/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4625,Incompatible systems,medium,Caleb2,Caleb3,6/4/2016,not started,Test,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid4626,Infinite loops ,high,Caleb1,Caleb1,1/6/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4627,Infinite loops ,medium,Caleb46,Caleb41,11/7/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4628,Differences between documentation and product,low,Caleb2,Caleb1,5/5/2016,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4629,Unpropagated updates,high,Caleb26,Caleb1,5/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4630,Differences between documentation and product,medium,Caleb37,Caleb1,12/7/2015,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4631,Incompatible systems,medium,Caleb1,Caleb2,12/7/2015,fixed,Sbx,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4632,Arithmetic overflow,high,Caleb20,Caleb2,9/8/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4633,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb1,3/6/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4634,Incorrect assumptions of a particular platform,medium,Caleb37,Caleb46,3/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4635,Division by zero.,high,Caleb2,Caleb2,9/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4636,Incorrect assumptions of a particular platform,high,Caleb2,Caleb6,1/6/2016,fixed,Sbx,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4637,Incompatible systems,low,Caleb2,Caleb8,2/5/2016,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4638,Arithmetic overflow,medium,Caleb2,Caleb1,12/7/2015,fixed,Dev,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4639,Arithmetic overflow,medium,Caleb1,Caleb1,11/7/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid4640,Division by zero.,high,Caleb2,Caleb2,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4641,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb2,6/4/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid4642,Division by zero.,medium,Caleb2,Caleb1,12/7/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4643,Incorrect assumptions of a particular platform,medium,Caleb33,Caleb49,2/5/2016,fixed,Dev,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid4644,infinite recursionIncorrect protocol implementation,high,Caleb2,Caleb2,1/6/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
